,TimeStamp,Text,URL
46,Thu Nov 30 17:05:43,RESTOCKED on Yeezy Supply.\nadidas Yeezy Boost 350 V2.\n\u2014&gt; https://t.co/ggsEXenFZf https://t.co/8koZ6FJEt4,"['https://t.co/ggsEXenFZf', 'https://t.co/8koZ6FJEt4']"
47,Thu Nov 30 14:59:59,NOW AVAILABLE on Yeezy Supply.\nadidas Yeezy Boost 350 V2.\n\u2014&gt; https://t.co/VK4uGPzmTD https://t.co/B8TTWdmPqk,"['https://t.co/VK4uGPzmTD', 'https://t.co/B8TTWdmPqk']"
48,Thu Nov 30 14:39:48,QUEUE LIVE on #adidas US.\nadidas Yeezy Boost 350 V2.\n\u2014&gt; https://t.co/NXc8J31Nyc https://t.co/fMQGmTCQeM,"['https://t.co/NXc8J31Nyc', 'https://t.co/fMQGmTCQeM']"
49,Sat Nov 25 16:35:35,RESTOCKED on Yeezy Supply.\nadidas Yeezy Boost 350 V2.\n\u2014&gt; https://t.co/VK4uGPzmTD https://t.co/23thg5m1A1,"['https://t.co/VK4uGPzmTD', 'https://t.co/23thg5m1A1']"
50,Sat Nov 25 16:04:54,QUEUE LIVE on @RUVILLA.\nadidas Yeezy Boost 350 V2.\n\u2014&gt; https://t.co/DHPmveQkdT https://t.co/dwNHR5tWNS,"['https://t.co/DHPmveQkdT', 'https://t.co/dwNHR5tWNS']"
51,Sat Nov 25 14:57:00,ALMOST LIVE!\nadidas Yeezy Boost 350 V2.\n\nFTL  https://t.co/oI9aLfgYXy\nFTA  https://t.co/05ZoFlrIED\nCS\u2026 https://t.co/p3vnf0Tatb,"['https://t.co/oI9aLfgYXy\\nFTA', '', 'https://t.co/05ZoFlrIED\\nCS\\u2026', 'https://t.co/p3vnf0Tatb']"
52,Sat Nov 25 14:40:00,Releasing in 20 minutes.\nadidas Yeezy Boost 350 V2.\n\nFTL  https://t.co/PT43o6Lc2w\nFTA  https://t.co/TGWfV5YJvp\nCS\u2026 https://t.co/8OujXl3JhX,"['https://t.co/PT43o6Lc2w\\nFTA', '', 'https://t.co/TGWfV5YJvp\\nCS\\u2026', 'https://t.co/8OujXl3JhX']"
53,Sat Nov 25 14:25:21,10am ET Queue Pages Live.\nadidas Yeezy Boost 350 V2.\nRandom access at 10:00am ET.\n\nUBIQ  https://t.co/gQYxN5Mcrt\nKU\u2026 https://t.co/uW3e0TJ5xF,"['https://t.co/gQYxN5Mcrt\\nKU\\u2026', 'https://t.co/uW3e0TJ5xF']"
54,Sat Nov 25 13:51:20,QUEUE LIVE on #adidas US.\nadidas Yeezy Boost 350 V2.\n\u2014&gt; https://t.co/5H35ivHnic https://t.co/4z5bkbCVSj,"['https://t.co/5H35ivHnic', 'https://t.co/4z5bkbCVSj']"
55,Sat Nov 25 13:06:10,QUEUE LIVE on #adidas CA.\nadidas Yeezy Boost 350 V2.\n\u2014&gt; https://t.co/LQtgI1xDSu https://t.co/5CwmxQzDxB,"['https://t.co/LQtgI1xDSu', 'https://t.co/5CwmxQzDxB']"
56,Sat Nov 25 08:13:53,QUEUE LIVE on #adidas EU.\nadidas Yeezy Boost 350 V2.\n\nUK  https://t.co/RcGgf319AU\nDE  https://t.co/COC955eqnR\nFR\u2026 https://t.co/449HdRnJQY,"['https://t.co/RcGgf319AU\\nDE', '', 'https://t.co/COC955eqnR\\nFR\\u2026', 'https://t.co/449HdRnJQY']"
57,Sat Nov 25 00:30:01,Releasing at 10am ET / 7am PT.\nadidas Yeezy Boost 350 V2.\n\nKUSA  https://t.co/AFABdId7q1\nFTL\u2026 https://t.co/TdWQrj0SnE,"['https://t.co/AFABdId7q1\\nFTL\\u2026', 'https://t.co/TdWQrj0SnE']"
58,Fri Nov 24 20:40:51,QUEUE LIVE on #adidas AU.\nadidas Yeezy Boost 350 V2.\n\u2014&gt; https://t.co/DL8Cd47uSk https://t.co/988TIvLx1T,"['https://t.co/DL8Cd47uSk', 'https://t.co/988TIvLx1T']"
59,Wed Nov 22 09:27:25,QUEUE LIVE on #adidas EU.\nadidas Yeezy Calabasas Pant.\n\nBlack\nUK  https://t.co/0Vwf0g2ylj\nDE\u2026 https://t.co/jSkwJPo2AQ,"['https://t.co/0Vwf0g2ylj\\nDE\\u2026', 'https://t.co/jSkwJPo2AQ']"
60,Sat Nov 18 16:08:01,NOW AVAILABLE on Yeezy Supply.\nadidas Yeezy Boost 350 V2.\n\u2014&gt; https://t.co/VK4uGPzmTD https://t.co/AvlnxvLgn1,"['https://t.co/VK4uGPzmTD', 'https://t.co/AvlnxvLgn1']"
61,Sat Nov 18 15:05:33,QUEUE LIVE on #adidas US.\nadidas Yeezy Boost 350 V2.\n\u2014&gt; https://t.co/ZYv9egJ32d https://t.co/JeOsTAvG0m,"['https://t.co/ZYv9egJ32d', 'https://t.co/JeOsTAvG0m']"
62,Sat Nov 18 13:38:37,QUEUE LIVE on #adidas CA.\nadidas Yeezy Boost 350 V2.\n\u2014&gt; https://t.co/IbrCdi0zSf https://t.co/jRzce0UgsR,"['https://t.co/IbrCdi0zSf', 'https://t.co/jRzce0UgsR']"
63,Sat Nov 18 08:47:06,QUEUE LIVE on #adidas EU.\nadidas Yeezy Boost 350 V2.\n\nUK  https://t.co/OoplvBSthi\nDE  https://t.co/n3aYUIGnMe\nFR\u2026 https://t.co/yXa6f08JLk,"['https://t.co/OoplvBSthi\\nDE', '', 'https://t.co/n3aYUIGnMe\\nFR\\u2026', 'https://t.co/yXa6f08JLk']"
